[2026-05-17T11:11:31.938Z] === MORSALL SERVER v2 STARTING ===
[2026-05-17T11:11:31.939Z] Found node_modules at: /home/u754458241/domains/morsall.com/nodejs/node_modules
[2026-05-17T11:11:31.951Z] Loaded .env.production
[2026-05-17T11:18:38.453Z] REQ: GET /api/admin/vendors
[2026-05-17T11:18:38.457Z] REQ: GET /api/admin/users
[2026-05-17T11:18:38.492Z] REQ: GET /api/auth/session
[2026-05-17T11:18:39.879Z] REQ: GET /api/auth/session
[2026-05-17T11:18:39.886Z] REQ: GET /api/categories
[2026-05-17T11:18:39.896Z] REQ: GET /api/site-config
[2026-05-17T11:18:39.907Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:18:39.911Z] REQ: GET /api/delivery-zones
[2026-05-17T11:18:39.999Z] REQ: GET /api/auth/session
[2026-05-17T11:18:40.007Z] REQ: GET /api/admin/orders
[2026-05-17T11:18:40.012Z] REQ: GET /api/admin/inventory
[2026-05-17T11:18:40.015Z] REQ: GET /api/admin/vendors
[2026-05-17T11:18:40.017Z] REQ: GET /api/admin/stats
[2026-05-17T11:18:40.019Z] REQ: GET /api/admin/approvals
[2026-05-17T11:18:40.020Z] REQ: GET /api/admin/users
[2026-05-17T11:18:40.076Z] REQ: GET /api/auth/session
[2026-05-17T11:18:41.419Z] REQ: GET /
[2026-05-17T11:18:42.422Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:18:42.426Z] REQ: GET /api/categories
[2026-05-17T11:18:42.429Z] REQ: GET /api/products
[2026-05-17T11:18:42.432Z] REQ: GET /api/products
[2026-05-17T11:18:42.436Z] REQ: GET /api/auth/session
[2026-05-17T11:18:42.442Z] REQ: GET /shop
[2026-05-17T11:18:42.510Z] REQ: GET /api/products
[2026-05-17T11:18:42.516Z] REQ: GET /api/products
[2026-05-17T11:18:42.562Z] REQ: GET /api/categories
[2026-05-17T11:18:42.569Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:18:42.571Z] REQ: GET /api/site-config
[2026-05-17T11:18:42.573Z] REQ: GET /api/delivery-zones
[2026-05-17T11:18:42.608Z] REQ: GET /api/auth/session
[2026-05-17T11:18:42.683Z] REQ: GET /api/auth/session
[2026-05-17T11:18:42.712Z] REQ: GET /category/cat_fashion
[2026-05-17T11:18:42.719Z] REQ: GET /category/cat_electronics
[2026-05-17T11:18:42.730Z] REQ: GET /category/cat_beauty
[2026-05-17T11:18:42.735Z] REQ: GET /category/cat_sports
[2026-05-17T11:18:42.760Z] REQ: GET /category/cat_books
[2026-05-17T11:18:42.810Z] REQ: GET /category/cat_home
[2026-05-17T11:18:42.815Z] REQ: GET /category/cmp8cxz0v00013wd7uofn12yj
[2026-05-17T11:18:42.825Z] REQ: GET /category/cmp8cybse00033wd7sji9ak29
[2026-05-17T11:18:45.820Z] REQ: GET /api/auth/session
[2026-05-17T11:18:45.833Z] REQ: GET /api/categories
[2026-05-17T11:18:45.836Z] REQ: GET /api/site-config
[2026-05-17T11:18:45.864Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:18:45.875Z] REQ: GET /api/delivery-zones
[2026-05-17T11:18:45.902Z] REQ: GET /api/admin/orders
[2026-05-17T11:18:45.905Z] REQ: GET /api/admin/inventory
[2026-05-17T11:18:45.908Z] REQ: GET /api/auth/session
[2026-05-17T11:18:45.914Z] REQ: GET /api/admin/approvals
[2026-05-17T11:18:45.916Z] REQ: GET /api/admin/stats
[2026-05-17T11:18:45.941Z] REQ: GET /api/admin/vendors
[2026-05-17T11:18:45.944Z] REQ: GET /api/admin/users
[2026-05-17T11:18:45.981Z] REQ: GET /api/auth/session
[2026-05-17T11:18:47.489Z] REQ: GET /api/auth/session
[2026-05-17T11:18:47.498Z] REQ: GET /api/site-config
[2026-05-17T11:18:47.500Z] REQ: GET /api/categories
[2026-05-17T11:18:47.501Z] REQ: GET /api/delivery-zones
[2026-05-17T11:18:47.503Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:18:47.578Z] REQ: GET /api/auth/session
[2026-05-17T11:18:47.581Z] REQ: GET /api/admin/orders
[2026-05-17T11:18:47.583Z] REQ: GET /api/admin/inventory
[2026-05-17T11:18:47.585Z] REQ: GET /api/admin/stats
[2026-05-17T11:18:47.587Z] REQ: GET /api/admin/users
[2026-05-17T11:18:47.591Z] REQ: GET /api/admin/approvals
[2026-05-17T11:18:47.598Z] REQ: GET /api/admin/vendors
[2026-05-17T11:18:47.654Z] REQ: GET /api/auth/session
[2026-05-17T11:18:49.369Z] REQ: GET /api/auth/session
[2026-05-17T11:18:49.421Z] REQ: GET /api/categories
[2026-05-17T11:18:49.423Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:18:49.425Z] REQ: GET /api/delivery-zones
[2026-05-17T11:18:49.426Z] REQ: GET /api/site-config
[2026-05-17T11:18:49.466Z] REQ: GET /api/auth/session
[2026-05-17T11:18:49.468Z] REQ: GET /api/admin/orders
[2026-05-17T11:18:49.470Z] REQ: GET /api/admin/inventory
[2026-05-17T11:18:49.472Z] REQ: GET /api/admin/stats
[2026-05-17T11:18:49.475Z] REQ: GET /api/admin/approvals
[2026-05-17T11:18:49.476Z] REQ: GET /api/admin/users
[2026-05-17T11:18:49.478Z] REQ: GET /api/admin/vendors
[2026-05-17T11:18:49.536Z] REQ: GET /api/auth/session
[2026-05-17T11:19:46.866Z] REQ: GET /api/auth/session
[2026-05-17T11:19:46.873Z] REQ: GET /
[2026-05-17T11:19:47.335Z] REQ: GET /forgot-password
[2026-05-17T11:19:47.427Z] REQ: GET /api/categories
[2026-05-17T11:19:47.430Z] REQ: GET /api/site-config
[2026-05-17T11:19:47.465Z] REQ: GET /api/delivery-zones
[2026-05-17T11:19:47.471Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:19:47.583Z] REQ: GET /api/auth/session
[2026-05-17T11:20:14.705Z] REQ: GET /api/auth/providers
[2026-05-17T11:20:15.007Z] REQ: GET /api/auth/csrf
[2026-05-17T11:20:15.117Z] REQ: POST /api/auth/callback/credentials
[2026-05-17T11:20:30.762Z] REQ: GET /api/auth/providers
[2026-05-17T11:20:30.882Z] REQ: GET /api/auth/csrf
[2026-05-17T11:20:30.980Z] REQ: POST /api/auth/callback/credentials
[2026-05-17T11:20:49.092Z] REQ: GET /api/auth/providers
[2026-05-17T11:20:49.182Z] REQ: GET /api/auth/csrf
[2026-05-17T11:20:49.272Z] REQ: POST /api/auth/callback/credentials
[2026-05-17T11:21:04.148Z] REQ: GET /api/auth/providers
[2026-05-17T11:21:15.314Z] REQ: GET /admin
[2026-05-17T11:21:15.927Z] REQ: GET /api/site-config
[2026-05-17T11:21:15.951Z] REQ: GET /api/categories
[2026-05-17T11:21:15.956Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:21:15.960Z] REQ: GET /api/delivery-zones
[2026-05-17T11:21:15.964Z] REQ: GET /api/auth/session
[2026-05-17T11:21:16.153Z] REQ: GET /api/auth/session
[2026-05-17T11:21:18.025Z] REQ: GET /dashboard
[2026-05-17T11:21:18.308Z] REQ: GET /api/site-config
[2026-05-17T11:21:18.311Z] REQ: GET /api/categories
[2026-05-17T11:21:18.314Z] REQ: GET /api/delivery-zones
[2026-05-17T11:21:18.317Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:21:18.319Z] REQ: GET /api/auth/session
[2026-05-17T11:21:18.329Z] REQ: GET /
[2026-05-17T11:21:18.558Z] REQ: GET /api/auth/session
[2026-05-17T11:21:20.729Z] REQ: GET /api/auth/session
[2026-05-17T11:21:20.758Z] REQ: GET /api/categories
[2026-05-17T11:21:20.787Z] REQ: GET /api/delivery-zones
[2026-05-17T11:21:20.788Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:21:20.797Z] REQ: GET /api/site-config
[2026-05-17T11:21:20.860Z] REQ: GET /api/auth/session
[2026-05-17T11:21:20.875Z] REQ: GET /api/admin/inventory
[2026-05-17T11:21:20.878Z] REQ: GET /api/admin/orders
[2026-05-17T11:21:20.881Z] REQ: GET /api/admin/stats
[2026-05-17T11:21:20.883Z] REQ: GET /api/admin/approvals
[2026-05-17T11:21:20.916Z] REQ: GET /api/admin/vendors
[2026-05-17T11:21:20.920Z] REQ: GET /api/admin/users
[2026-05-17T11:22:00.017Z] REQ: GET /
[2026-05-17T11:22:01.264Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:22:01.293Z] REQ: GET /api/categories
[2026-05-17T11:22:01.295Z] REQ: GET /api/products
[2026-05-17T11:22:01.297Z] REQ: GET /api/products
[2026-05-17T11:22:01.301Z] REQ: GET /api/auth/session
[2026-05-17T11:22:01.314Z] REQ: GET /shop
[2026-05-17T11:22:01.368Z] REQ: GET /api/products
[2026-05-17T11:22:01.381Z] REQ: GET /api/products
[2026-05-17T11:22:01.533Z] REQ: GET /api/auth/session
[2026-05-17T11:22:01.884Z] REQ: GET /category/cat_fashion
[2026-05-17T11:22:01.889Z] REQ: GET /category/cat_electronics
[2026-05-17T11:22:01.896Z] REQ: GET /category/cat_beauty
[2026-05-17T11:22:01.900Z] REQ: GET /category/cat_sports
[2026-05-17T11:22:01.902Z] REQ: GET /category/cat_books
[2026-05-17T11:22:01.994Z] REQ: GET /api/categories
[2026-05-17T11:22:02.000Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:22:02.008Z] REQ: GET /api/delivery-zones
[2026-05-17T11:22:02.010Z] REQ: GET /api/site-config
[2026-05-17T11:22:02.017Z] REQ: GET /category/cat_home
[2026-05-17T11:22:02.020Z] REQ: GET /category/cmp8cxz0v00013wd7uofn12yj
[2026-05-17T11:22:02.024Z] REQ: GET /category/cmp8cybse00033wd7sji9ak29
[2026-05-17T11:26:46.635Z] REQ: GET /api/auth/session
[2026-05-17T11:26:46.674Z] REQ: GET /api/site-config
[2026-05-17T11:26:46.676Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:26:46.678Z] REQ: GET /api/delivery-zones
[2026-05-17T11:26:46.679Z] REQ: GET /api/categories
[2026-05-17T11:26:46.728Z] REQ: GET /api/admin/orders
[2026-05-17T11:26:46.730Z] REQ: GET /api/admin/inventory
[2026-05-17T11:26:46.732Z] REQ: GET /api/admin/stats
[2026-05-17T11:26:46.734Z] REQ: GET /api/admin/approvals
[2026-05-17T11:26:46.741Z] REQ: GET /api/admin/users
[2026-05-17T11:26:46.763Z] REQ: GET /api/admin/vendors
[2026-05-17T11:26:46.765Z] REQ: GET /api/auth/session
[2026-05-17T11:27:42.598Z] REQ: GET /api/auth/session
[2026-05-17T11:27:42.612Z] REQ: GET /api/categories
[2026-05-17T11:27:42.615Z] REQ: GET /api/site-config
[2026-05-17T11:27:42.616Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:27:42.619Z] REQ: GET /api/delivery-zones
[2026-05-17T11:27:42.795Z] REQ: GET /api/auth/session
[2026-05-17T11:27:42.806Z] REQ: GET /api/admin/orders
[2026-05-17T11:27:42.809Z] REQ: GET /api/admin/inventory
[2026-05-17T11:27:42.811Z] REQ: GET /api/admin/stats
[2026-05-17T11:27:42.818Z] REQ: GET /api/admin/approvals
[2026-05-17T11:27:42.828Z] REQ: GET /api/admin/users
[2026-05-17T11:27:42.847Z] REQ: GET /api/admin/vendors
[2026-05-17T11:34:03.385Z] REQ: GET /api/auth/session
[2026-05-17T11:34:03.402Z] REQ: GET /api/categories
[2026-05-17T11:34:03.801Z] === MORSALL SERVER v2 STARTING ===
[2026-05-17T11:34:03.802Z] Found node_modules at: /home/u754458241/domains/morsall.com/nodejs/node_modules
[2026-05-17T11:34:03.814Z] Loaded .env.production
[2026-05-17T11:34:03.814Z] Using DATABASE_URL: mysql://u754458241_Kanan:****@127.0.0.1/u754458241_Kanan?connection_limit=1
[2026-05-17T11:34:03.814Z] DATABASE_URL set: true
[2026-05-17T11:34:03.815Z] NEXTAUTH_URL: https://morsall.com
[2026-05-17T11:34:03.815Z] PORT from env: 
[2026-05-17T11:34:03.815Z] UPLOAD_DIR: 
[2026-05-17T11:34:04.320Z] Server running on port 3000
[2026-05-17T11:34:04.320Z] Uploads served from: /home/u754458241/domains/morsall.com/nodejs/public/uploads
[2026-05-17T11:34:04.327Z] REQ: GET /api/admin/stats
[2026-05-17T11:34:04.483Z] REQ: GET /api/admin/inventory
[2026-05-17T11:34:04.906Z] REQ: GET /api/categories
[2026-05-17T11:34:04.922Z] REQ: GET /api/delivery-zones
[2026-05-17T11:34:04.928Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:34:04.933Z] REQ: GET /api/site-config
[2026-05-17T11:34:04.942Z] REQ: GET /api/auth/session
[2026-05-17T11:34:04.955Z] REQ: GET /api/admin/orders
[2026-05-17T11:34:04.960Z] REQ: GET /api/admin/approvals
[2026-05-17T11:34:04.976Z] REQ: GET /api/admin/users
[2026-05-17T11:34:04.983Z] REQ: GET /api/admin/vendors
[2026-05-17T11:34:05.055Z] REQ: GET /api/auth/session
[2026-05-17T11:34:05.337Z] REQ: GET /api/admin/orders
[2026-05-17T11:34:05.344Z] REQ: GET /api/admin/inventory
[2026-05-17T11:34:05.352Z] REQ: GET /api/admin/stats
[2026-05-17T11:34:05.365Z] REQ: GET /api/admin/approvals
[2026-05-17T11:34:05.369Z] REQ: GET /api/admin/vendors
[2026-05-17T11:34:05.372Z] REQ: GET /api/admin/users
[2026-05-17T11:52:37.164Z] REQ: GET /api/admin/employees
[2026-05-17T11:52:39.258Z] REQ: GET /api/auth/session
[2026-05-17T11:52:39.331Z] REQ: GET /api/categories
[2026-05-17T11:52:39.360Z] REQ: GET /api/site-config
[2026-05-17T11:52:39.362Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:52:39.369Z] REQ: GET /api/delivery-zones
[2026-05-17T11:52:39.380Z] REQ: GET /api/admin/drivers
[2026-05-17T11:52:39.392Z] REQ: GET /api/admin/inventory
[2026-05-17T11:52:39.394Z] REQ: GET /api/admin/orders
[2026-05-17T11:52:39.397Z] REQ: GET /api/admin/stats
[2026-05-17T11:52:39.400Z] REQ: GET /api/admin/approvals
[2026-05-17T11:52:39.427Z] REQ: GET /api/admin/vendors
[2026-05-17T11:52:39.430Z] REQ: GET /api/admin/users
[2026-05-17T11:52:49.724Z] REQ: GET /vendor/dashboard
[2026-05-17T11:52:50.158Z] REQ: GET /api/vendor/stats
[2026-05-17T11:52:50.189Z] REQ: GET /api/vendor/withdrawals
[2026-05-17T11:52:50.192Z] REQ: GET /api/vendor/orders
[2026-05-17T11:52:50.196Z] REQ: GET /api/auth/session
[2026-05-17T11:52:50.200Z] REQ: GET /api/vendor/products
[2026-05-17T11:52:50.218Z] REQ: GET /api/categories
[2026-05-17T11:52:50.221Z] REQ: GET /api/delivery-zones
[2026-05-17T11:52:50.248Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:52:50.252Z] REQ: GET /api/site-config
[2026-05-17T11:52:50.309Z] REQ: GET /api/auth/session
[2026-05-17T11:52:50.408Z] REQ: GET /api/admin/inventory
[2026-05-17T11:52:50.411Z] REQ: GET /api/admin/orders
[2026-05-17T11:52:50.413Z] REQ: GET /api/admin/stats
[2026-05-17T11:52:50.415Z] REQ: GET /api/admin/approvals
[2026-05-17T11:52:50.423Z] REQ: GET /api/admin/users
[2026-05-17T11:52:50.429Z] REQ: GET /api/admin/vendors
[2026-05-17T11:52:51.254Z] REQ: GET /
[2026-05-17T11:52:51.531Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:52:51.535Z] REQ: GET /api/products
[2026-05-17T11:52:51.540Z] REQ: GET /api/categories
[2026-05-17T11:52:51.542Z] REQ: GET /api/products
[2026-05-17T11:52:51.543Z] REQ: GET /shop
[2026-05-17T11:52:51.555Z] REQ: GET /api/auth/session
[2026-05-17T11:52:51.625Z] REQ: GET /api/products
[2026-05-17T11:52:51.634Z] REQ: GET /api/categories
[2026-05-17T11:52:51.636Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:52:51.639Z] REQ: GET /api/products
[2026-05-17T11:52:51.641Z] REQ: GET /api/delivery-zones
[2026-05-17T11:52:51.643Z] REQ: GET /api/site-config
[2026-05-17T11:52:51.683Z] REQ: GET /api/auth/session
[2026-05-17T11:52:51.740Z] REQ: GET /category/cat_electronics
[2026-05-17T11:52:51.748Z] REQ: GET /category/cat_fashion
[2026-05-17T11:52:51.751Z] REQ: GET /category/cat_beauty
[2026-05-17T11:52:51.754Z] REQ: GET /category/cat_sports
[2026-05-17T11:52:51.769Z] REQ: GET /api/admin/orders
[2026-05-17T11:52:51.772Z] REQ: GET /api/admin/inventory
[2026-05-17T11:52:51.775Z] REQ: GET /api/admin/stats
[2026-05-17T11:52:51.778Z] REQ: GET /api/admin/approvals
[2026-05-17T11:52:51.781Z] REQ: GET /api/admin/users
[2026-05-17T11:52:51.785Z] REQ: GET /category/cat_books
[2026-05-17T11:52:51.801Z] REQ: GET /api/admin/vendors
[2026-05-17T11:52:51.821Z] REQ: GET /category/cat_home
[2026-05-17T11:52:51.829Z] REQ: GET /category/cmp8cxz0v00013wd7uofn12yj
[2026-05-17T11:52:51.833Z] REQ: GET /category/cmp8cybse00033wd7sji9ak29
[2026-05-17T11:52:53.635Z] REQ: GET /api/auth/csrf
[2026-05-17T11:52:53.711Z] REQ: POST /api/auth/signout
[2026-05-17T11:52:53.795Z] REQ: GET /
[2026-05-17T11:52:53.824Z] REQ: GET /api/auth/session
[2026-05-17T11:52:54.005Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:52:54.008Z] REQ: GET /api/categories
[2026-05-17T11:52:54.034Z] REQ: GET /api/products
[2026-05-17T11:52:54.036Z] REQ: GET /shop
[2026-05-17T11:52:54.039Z] REQ: GET /api/products
[2026-05-17T11:52:54.041Z] REQ: GET /api/auth/session
[2026-05-17T11:52:54.078Z] REQ: GET /api/site-config
[2026-05-17T11:52:54.082Z] REQ: GET /api/categories
[2026-05-17T11:52:54.084Z] REQ: GET /api/delivery-zones
[2026-05-17T11:52:54.088Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:52:54.108Z] REQ: GET /
[2026-05-17T11:52:54.112Z] REQ: GET /api/products
[2026-05-17T11:52:54.120Z] REQ: GET /api/products
[2026-05-17T11:52:54.258Z] REQ: GET /category/cat_electronics
[2026-05-17T11:52:54.261Z] REQ: GET /category/cat_fashion
[2026-05-17T11:52:54.263Z] REQ: GET /category/cat_beauty
[2026-05-17T11:52:54.265Z] REQ: GET /category/cat_sports
[2026-05-17T11:52:54.273Z] REQ: GET /category/cat_books
[2026-05-17T11:52:54.332Z] REQ: GET /category/cat_home
[2026-05-17T11:52:54.337Z] REQ: GET /category/cmp8cybse00033wd7sji9ak29
[2026-05-17T11:52:54.339Z] REQ: GET /category/cmp8cxz0v00013wd7uofn12yj
[2026-05-17T11:52:55.962Z] REQ: GET /api/auth/session
[2026-05-17T11:52:55.978Z] REQ: GET /
[2026-05-17T11:52:56.014Z] REQ: GET /forgot-password
[2026-05-17T11:52:56.059Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T11:52:56.061Z] REQ: GET /api/categories
[2026-05-17T11:52:56.063Z] REQ: GET /api/site-config
[2026-05-17T11:52:56.099Z] REQ: GET /api/delivery-zones
[2026-05-17T11:53:01.461Z] REQ: GET /api/auth/providers
[2026-05-17T11:53:01.535Z] REQ: GET /api/auth/csrf
[2026-05-17T11:53:01.610Z] REQ: POST /api/auth/callback/credentials
[2026-05-17T12:29:10.187Z] === MORSALL SERVER v2 STARTING ===
[2026-05-17T12:29:10.188Z] Found node_modules at: /home/u754458241/domains/morsall.com/nodejs/node_modules
[2026-05-17T12:29:10.200Z] Loaded .env.production
[2026-05-17T12:29:10.200Z] Using DATABASE_URL: mysql://u754458241_Kanan:****@127.0.0.1/u754458241_Kanan?connection_limit=1
[2026-05-17T12:29:10.200Z] DATABASE_URL set: true
[2026-05-17T12:29:10.200Z] NEXTAUTH_URL: https://morsall.com
[2026-05-17T12:29:10.200Z] PORT from env: 
[2026-05-17T12:29:10.200Z] UPLOAD_DIR: 
[2026-05-17T12:29:10.646Z] Server running on port 3000
[2026-05-17T12:29:10.647Z] Uploads served from: /home/u754458241/domains/morsall.com/nodejs/public/uploads
[2026-05-17T12:29:10.650Z] REQ: GET /robots.txt
[2026-05-17T12:29:12.754Z] REQ: GET /product/n4
[2026-05-17T12:29:12.975Z] === MORSALL SERVER v2 STARTING ===
[2026-05-17T12:29:12.976Z] Found node_modules at: /home/u754458241/domains/morsall.com/nodejs/node_modules
[2026-05-17T12:29:12.988Z] Loaded .env.production
[2026-05-17T12:29:12.988Z] Using DATABASE_URL: mysql://u754458241_Kanan:****@127.0.0.1/u754458241_Kanan?connection_limit=1
[2026-05-17T12:29:12.988Z] DATABASE_URL set: true
[2026-05-17T12:29:12.988Z] NEXTAUTH_URL: https://morsall.com
[2026-05-17T12:29:12.988Z] PORT from env: 
[2026-05-17T12:29:12.988Z] UPLOAD_DIR: 
[2026-05-17T12:29:13.451Z] Server running on port 3000
[2026-05-17T12:29:13.451Z] Uploads served from: /home/u754458241/domains/morsall.com/nodejs/public/uploads
[2026-05-17T12:29:13.455Z] REQ: GET /product/n4
[2026-05-17T12:41:13.539Z] === MORSALL SERVER v2 STARTING ===
[2026-05-17T12:41:13.541Z] Found node_modules at: /home/u754458241/domains/morsall.com/nodejs/node_modules
[2026-05-17T12:41:13.552Z] Loaded .env.production
[2026-05-17T12:41:13.552Z] Using DATABASE_URL: mysql://u754458241_Kanan:****@127.0.0.1/u754458241_Kanan?connection_limit=1
[2026-05-17T12:41:13.552Z] DATABASE_URL set: true
[2026-05-17T12:41:13.552Z] NEXTAUTH_URL: https://morsall.com
[2026-05-17T12:41:13.552Z] PORT from env: 
[2026-05-17T12:41:13.552Z] UPLOAD_DIR: 
[2026-05-17T12:41:14.002Z] Server running on port 3000
[2026-05-17T12:41:14.002Z] Uploads served from: /home/u754458241/domains/morsall.com/nodejs/public/uploads
[2026-05-17T12:41:14.006Z] REQ: GET /
[2026-05-17T12:41:18.637Z] REQ: GET /
[2026-05-17T12:41:20.011Z] REQ: GET /api/categories
[2026-05-17T12:41:20.024Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T12:41:20.055Z] REQ: GET /api/products
[2026-05-17T12:41:20.059Z] REQ: GET /api/products
[2026-05-17T12:41:20.062Z] REQ: GET /api/site-config
[2026-05-17T12:41:20.070Z] REQ: GET /api/auth/session
[2026-05-17T12:41:20.081Z] REQ: GET /api/delivery-zones
[2026-05-17T12:41:20.790Z] REQ: GET /api/admin/settings/appearance
[2026-05-17T12:41:20.794Z] REQ: GET /api/products
[2026-05-17T12:41:20.798Z] REQ: GET /api/categories
[2026-05-17T12:41:21.355Z] REQ: GET /api/products
[2026-05-17T12:41:25.129Z] REQ: GET /contact
[2026-05-17T13:14:02.805Z] REQ: GET /testimonials-3/
[2026-05-17T13:14:03.236Z] REQ: GET /testimonials-3
[2026-05-17T13:14:48.793Z] REQ: GET /robots.txt
[2026-05-17T13:34:17.583Z] === MORSALL SERVER v2 STARTING ===
[2026-05-17T13:34:17.584Z] Found node_modules at: /home/u754458241/domains/morsall.com/nodejs/node_modules
[2026-05-17T13:34:17.596Z] Loaded .env.production
[2026-05-17T13:34:17.596Z] Using DATABASE_URL: mysql://u754458241_Kanan:****@127.0.0.1/u754458241_Kanan?connection_limit=1
[2026-05-17T13:34:17.596Z] DATABASE_URL set: true
[2026-05-17T13:34:17.596Z] NEXTAUTH_URL: https://morsall.com
[2026-05-17T13:34:17.596Z] PORT from env: 
[2026-05-17T13:34:17.596Z] UPLOAD_DIR: 
[2026-05-17T13:34:18.043Z] Server running on port 3000
[2026-05-17T13:34:18.043Z] Uploads served from: /home/u754458241/domains/morsall.com/nodejs/public/uploads
